pl_name,pl_discmethod,pl_orbper,pl_radj,pl_bmassj,pl_dens
HD 89744 b,Radial Velocity,256.78000000,,8.35000,
HD 90156 b,Radial Velocity,49.77000000,,0.05700,
HD 92788 b,Radial Velocity,325.80300000,,3.76000,
HD 93083 b,Radial Velocity,143.58000000,,0.37000,
HD 95086 b,Imaging,,,5.00000,
HD 95089 b,Radial Velocity,464.40000000,,1.26000,
HD 95127 b,Radial Velocity,482.00000000,,10.63000,
HD 96063 b,Radial Velocity,362.50000000,,1.27000,
HD 96167 b,Radial Velocity,498.04000000,,0.71700,
HD 96127 b,Radial Velocity,647.29999000,,20.96000,
HD 233604 b,Radial Velocity,192.00000000,,6.57500,
HD 240210 b,Radial Velocity,501.75000000,,5.21000,
HD 240237 b,Radial Velocity,745.70001000,,15.89000,
HD 290327 b,Radial Velocity,2443.00000000,,2.43000,
HD 285968 b,Radial Velocity,8.78360000,,0.02600,
HD 285507 b,Radial Velocity,6.08810000,,0.98000,
HD 330075 b,Radial Velocity,3.38773000,,0.48000,
HIP 5158 b,Radial Velocity,345.72000000,,1.42000,
HIP 5158 c,Radial Velocity,9017.76000000,,15.04000,
HIP 12961 b,Radial Velocity,57.43500000,,0.36000,
HIP 14810 b,Radial Velocity,6.67389200,,3.90000,
HIP 14810 c,Radial Velocity,147.74700000,,1.31000,
HIP 14810 d,Radial Velocity,981.80000000,,0.59000,
GJ 1148 b,Radial Velocity,41.38000000,,0.30425,
HIP 57274 b,Radial Velocity,8.13520000,,0.02000,
HIP 57274 c,Radial Velocity,32.03000000,,0.40902,
HIP 57274 d,Radial Velocity,431.70000000,,0.52670,
Ross 458 c,Imaging,,1.250,6.00000,
HIP 63242 b,Radial Velocity,124.60000000,,9.18000,
HIP 67851 b,Radial Velocity,88.90000000,,1.38000,
HIP 67851 c,Radial Velocity,2131.80000000,,5.98000,
HIP 70849 b,Radial Velocity,17337.50000000,,9.00000,
HD 183263 c,Radial Velocity,3070.00000000,,3.57000,
HD 185269 b,Radial Velocity,6.83776000,,1.01000,
HD 187085 b,Radial Velocity,1019.74000000,,0.83600,
HD 187123 b,Radial Velocity,3.09658280,,0.52300,
HD 187123 c,Radial Velocity,3810.00000000,,1.99000,
HD 188015 b,Radial Velocity,461.20000000,,1.50000,
HD 189733 b,Radial Velocity,2.21857567,1.130,1.13000,
HD 190360 b,Radial Velocity,2915.03687000,,1.54000,
HD 190360 c,Radial Velocity,17.11100000,,0.06000,
HD 190647 b,Radial Velocity,1176.45000000,,1.98500,
HD 190984 b,Radial Velocity,4885.00000000,,3.10000,
HD 192263 b,Radial Velocity,24.35560000,,0.56000,
HD 192310 b,Radial Velocity,74.72000000,,0.05320,
HD 192310 c,Radial Velocity,525.80000000,,0.07600,
HD 192699 b,Radial Velocity,340.94000000,,2.09600,
HD 195019 b,Radial Velocity,18.20132000,,3.98000,
HD 196050 b,Radial Velocity,1378.00000000,,3.18000,
HD 196067 b,Radial Velocity,3638.00000000,,6.90000,
HD 196885 A b,Radial Velocity,1333.00000000,,2.58000,
HD 197037 b,Radial Velocity,1035.70000000,,0.79000,
HD 200964 b,Radial Velocity,606.30000000,,1.59900,
HD 200964 c,Radial Velocity,852.50000000,,1.21400,
HD 202206 c,Radial Velocity,1260.00000000,,17.90000,
HD 203030 b,Imaging,,,24.09000,
HD 204313 b,Radial Velocity,1920.09998000,,3.46000,
HD 204941 b,Radial Velocity,1733.00000000,,0.23000,
HD 205739 b,Radial Velocity,279.80000000,,1.37000,
HD 206610 b,Radial Velocity,673.20000000,,2.03600,
HD 207832 b,Radial Velocity,160.07000000,,0.56000,
HD 207832 c,Radial Velocity,1155.70000000,,0.73000,
HD 208527 b,Radial Velocity,875.50000000,,9.90000,
HD 208487 b,Radial Velocity,130.08000000,,0.52000,
HD 209458 b,Radial Velocity,3.52474859,1.390,0.73000,
HD 210277 b,Radial Velocity,442.19000000,,1.29000,
HD 210702 b,Radial Velocity,354.10000000,,1.80800,
HD 212771 b,Radial Velocity,380.70000000,,2.39000,
iot Dra b,Radial Velocity,511.09800000,,8.82000,
HIP 78530 b,Imaging,,,23.00000,
Kepler-18 b,Transit,3.50472500,0.178,0.02200,4.90000
Kepler-18 c,Transit,7.64159000,0.490,0.05400,0.59000
Kepler-18 d,Transit,14.85888000,0.623,0.05200,0.27000
Kepler-19 b,Transit,9.28716000,,0.02643,
Kepler-19 c,Transit Timing Variations,28.73100000,,0.04122,
Kepler-20 b,Transit,3.69611525,0.167,0.03052,8.20000
Kepler-20 c,Transit,10.85409089,0.272,0.04012,2.50000
Kepler-20 d,Transit,77.61130017,0.245,0.03168,2.70000
Kepler-20 e,Transit,6.09852281,0.077,,
Kepler-20 f,Transit,19.57758478,0.089,,
Kepler-21 b,Transit,2.78578000,0.146,0.01598,6.40000
Kepler-22 b,Transit,289.86230000,0.212,0.11300,14.70000
Kepler-23 b,Transit,7.10730000,0.170,0.80000,
Kepler-23 c,Transit,10.74210000,0.285,2.70000,
Kepler-23 d,Transit,15.27429900,0.196,,
Kepler-24 b,Transit,8.14530000,0.214,1.60000,
Kepler-24 c,Transit,12.33350000,0.250,1.60000,
Kepler-24 d,Transit,4.24438400,0.149,,
Kepler-24 e,Transit,18.99835500,0.248,,
Kepler-25 b,Transit,6.23829700,0.245,0.02750,2.32000
Kepler-25 c,Transit,12.72070000,0.465,0.04790,0.58800
Kepler-25 d,Radial Velocity,122.40000000,,0.22600,
Kepler-26 b,Transit,12.28000000,0.248,0.01611,1.26000
Kepler-26 c,Transit,17.25590000,0.243,0.01951,1.61000
Kepler-26 d,Transit,3.54391900,0.095,,
Kepler-26 e,Transit,46.82791500,0.215,,
Kepler-27 b,Transit,15.33480000,0.357,9.11000,
Kepler-27 c,Transit,31.33090000,0.437,13.80000,
Kepler-28 b,Transit,5.91230000,0.321,1.51000,
Kepler-28 c,Transit,8.98580000,0.303,1.36000,
Kepler-29 b,Transit,10.33974000,0.227,0.01573,1.65000
Kepler-29 c,Transit,13.28613000,0.209,0.01416,1.91000
Kepler-30 b,Transit,29.33434000,0.348,0.03600,1.02000
Kepler-30 c,Transit,60.32310500,1.097,2.01000,1.88000
Kepler-30 d,Transit,143.34394000,0.785,0.07300,0.19000
Kepler-31 b,Transit,20.86130000,0.491,,
Kepler-31 c,Transit,42.63180000,0.473,4.70000,
Kepler-31 d,Transit,87.64510000,0.348,6.80000,
Kepler-32 b,Transit,5.90124000,0.196,4.10000,
Kepler-32 c,Transit,8.75220000,0.178,0.50000,
Kepler-32 d,Transit,22.78020000,0.241,,
Kepler-32 e,Transit,2.89600000,0.134,,
Kepler-32 f,Transit,0.74296000,0.073,,
Kepler-33 b,Transit,5.66793000,0.155,,
Kepler-33 c,Transit,13.17562000,0.285,,
HIP 79431 b,Radial Velocity,111.70000000,,2.10000,
HIP 91258 b,Radial Velocity,5.05050000,,1.09000,
HIP 97233 b,Radial Velocity,1058.80000000,,20.00000,
HIP 105854 b,Radial Velocity,184.20000000,,8.20000,
HIP 116454 b,Transit,9.12050000,0.220,0.04000,
HR 810 b,Radial Velocity,302.79999000,,2.27000,
HR 8799 b,Imaging,170000.00000000,1.200,7.00000,
HR 8799 c,Imaging,69000.00000000,1.200,10.00000,
HR 8799 d,Imaging,37000.00000000,1.200,10.00000,
HR 8799 e,Imaging,,1.170,10.00000,
K2-3 b,Transit,10.05462600,,0.02039,3.70000
K2-3 c,Transit,24.64658200,,0.00673,2.98000
K2-3 d,Transit,44.55646000,,0.00881,5.62000
KELT-1 b,Transit,1.21751400,1.110,27.23000,24.70000
KELT-2 A b,Transit,4.11379000,1.350,1.70000,
KELT-3 b,Transit,2.70339000,1.560,1.94000,
KELT-6 b,Transit,7.84570000,1.300,0.52000,
TrES-2 b,Transit,2.47063000,1.360,1.49000,
HAT-P-7 b,Transit,2.20474000,1.510,1.84000,
HAT-P-11 b,Transit,4.88780244,0.389,0.07362,
Kepler-4 b,Transit,3.21346000,0.357,0.07700,1.91000
Kepler-5 b,Transit,3.54846570,1.426,2.11100,0.40000
Kepler-6 b,Transit,3.23469960,1.304,0.66800,0.40000
Kepler-7 b,Transit,4.88548920,1.622,0.44100,0.14000
Kepler-8 b,Transit,3.52249910,1.416,0.59000,0.27000
Kepler-9 b,Transit,19.23891000,0.740,0.13655,0.42000
Kepler-9 c,Transit,38.98530000,0.721,0.09408,0.31000
Kepler-9 d,Transit,1.59285100,0.146,,
Kepler-10 b,Transit,0.83749100,0.132,0.01450,8.00000
Kepler-10 c,Transit,45.29460000,,0.02319,3.14000
Kepler-11 b,Transit,10.30390000,0.161,0.00600,1.72000
Kepler-11 c,Transit,13.02410000,0.256,0.00900,0.66000
Kepler-11 d,Transit,22.68450000,0.278,0.02300,1.28000
Kepler-11 e,Transit,31.99960000,0.374,0.02500,0.58000
Kepler-11 f,Transit,46.68880000,0.222,0.00600,0.69000
Kepler-11 g,Transit,118.38070000,0.297,0.07900,4.00000
Kepler-12 b,Transit,4.43796290,1.754,0.43200,0.11000
KOI-13 b,Transit,1.76358800,1.512,9.28000,3.60000
Kepler-14 b,Transit,6.79012300,1.136,8.40000,7.10000
Kepler-15 b,Transit,4.94278200,0.960,0.66000,0.93000
Kepler-16 b,Transit,228.77600000,0.754,0.33300,0.96400
Kepler-17 b,Transit,1.48571080,1.310,2.45000,1.35000
Kepler-33 d,Transit,21.77596000,0.477,,
Kepler-33 e,Transit,31.78440000,0.359,,
Kepler-33 f,Transit,41.02902000,0.398,,
Kepler-34 b,Transit,288.82200000,0.764,0.22000,0.61300
Kepler-35 b,Transit,131.45800000,0.728,0.12700,0.41000
Kepler-36 b,Transit,13.86825000,0.134,0.01205,6.26000
Kepler-36 c,Transit,16.21865000,0.328,0.02243,0.78700
Kepler-37 b,Transit,13.36731000,0.030,0.01000,
Kepler-37 c,Transit,21.30200000,0.067,0.03776,
Kepler-37 d,Transit,39.79220000,0.173,0.03839,
Kepler-37 e,Transit Timing Variations,51.19600000,,,
Kepler-38 b,Transit,105.59900000,0.384,0.38400,
Kepler-39 b,Transit,21.08721000,1.240,20.10000,13.00000
Kepler-40 b,Transit,6.87349000,1.170,2.20000,1.68000
Kepler-41 b,Transit,1.85555820,1.290,0.56000,0.33000
Kepler-42 b,Transit,1.21376720,0.070,,
Kepler-42 c,Transit,0.45328509,0.065,,
Kepler-42 d,Transit,1.86516900,0.051,,
Kepler-43 b,Transit,3.02409490,1.219,3.23000,5.00000
Kepler-44 b,Transit,3.24672930,1.090,1.00000,0.93000
Kepler-45 b,Transit,2.45523900,0.960,0.50500,0.80000
Kepler-46 b,Transit,33.60134000,0.808,6.00000,14.00000
Kepler-46 c,Transit Timing Variations,57.01100000,,0.37600,
Kepler-46 d,Transit,6.76658900,0.146,,
Kepler-47 b,Transit,49.46430000,0.272,0.00651,0.40000
Kepler-47 c,Transit,303.22700000,0.415,0.00997,0.17000
Kepler-48 b,Transit,4.77800000,0.168,0.01240,3.23000
Kepler-48 c,Transit,9.67395000,0.242,0.04597,4.01000
Kepler-48 d,Transit,42.89610000,0.182,0.02500,5.08000
Kepler-48 e,Radial Velocity,982.00000000,,2.06700,
Kepler-49 b,Transit,7.20379450,0.243,0.98000,
Kepler-49 c,Transit,10.91293430,0.227,0.72000,
Kepler-49 d,Transit,2.57654900,0.143,,
Kepler-49 e,Transit,18.59610800,0.139,,
Kepler-50 b,Transit,7.81254000,0.153,,
Kepler-50 c,Transit,9.37647000,0.194,,
Kepler-51 b,Transit,45.15400000,0.633,0.00700,0.03000
Kepler-51 c,Transit,85.31200000,0.803,0.01300,0.03000
Kepler-51 d,Transit,130.19400000,0.865,0.02400,0.04600
Kepler-52 b,Transit,7.87735650,0.187,8.70000,
Kepler-52 c,Transit,16.38500210,0.164,10.41000,
Kepler-52 d,Transit,36.44517100,0.174,,
Kepler-53 b,Transit,18.64895250,0.258,18.41000,
Kepler-53 c,Transit,38.55830380,0.283,15.74000,
Kepler-53 d,Transit,9.75196200,0.189,,
Kepler-54 b,Transit,8.01094340,0.187,0.92000,
Kepler-54 c,Transit,12.07172490,0.110,0.37000,
Kepler-54 d,Transit,20.99569400,0.136,,
Kepler-55 b,Transit,27.94814490,0.217,1.49000,
Kepler-55 c,Transit,42.15164180,0.197,1.11000,
Kepler-55 d,Transit,2.21109900,0.142,,
Kepler-55 e,Transit,4.61753400,0.138,,
Kepler-55 f,Transit,10.19854500,0.142,,
Kepler-56 b,Transit,10.50160000,0.581,0.07000,0.44200
Kepler-56 c,Transit,21.40239000,0.874,0.57000,1.06000
Kepler-57 b,Transit,5.72931960,0.195,18.86000,
Kepler-57 c,Transit,11.60925670,0.138,6.95000,
Kepler-58 b,Transit,10.21849540,0.248,1.39000,
Kepler-58 c,Transit,15.57415680,0.255,2.19000,
Kepler-58 d,Transit,40.10137100,0.262,,
Kepler-59 b,Transit,11.86817070,0.098,2.05000,
Kepler-59 c,Transit,17.98012350,0.177,1.37000,
Kepler-60 b,Transit,7.13340000,0.153,0.01318,4.62000
Kepler-60 c,Transit,8.91870000,0.170,0.01211,3.06000
Kepler-60 d,Transit,11.89810000,0.178,0.01309,2.91000
Kepler-61 b,Transit,59.87756000,0.192,,
Kepler-62 b,Transit,5.71493200,0.117,0.03000,
Kepler-62 c,Transit,12.44170000,0.048,0.01300,
Kepler-62 d,Transit,18.16406000,0.174,0.04400,
Kepler-62 e,Transit,122.38740000,0.144,0.11300,
DH Tau b,Imaging,,,11.00000,
DP Leo b,Eclipse Timing Variations,10220.00000000,,6.05000,
FU Tau b,Imaging,,,16.00000,
GQ Lup b,Imaging,,3.000,20.00000,
GU Psc b,Imaging,,1.265,11.30000,
HN Peg b,Imaging,,1.051,21.99870,
NN Ser c,Eclipse Timing Variations,5573.55000000,,7.33000,
NN Ser d,Eclipse Timing Variations,2883.50000000,,2.30000,
NY Vir b,Eclipse Timing Variations,3160.00000000,,2.66000,
RR Cae b,Eclipse Timing Variations,4343.50000000,,4.20000,
UZ For b,Eclipse Timing Variations,5840.00000000,,6.30000,
UZ For c,Eclipse Timing Variations,1916.25000000,,7.70000,
alf Ari b,Radial Velocity,380.80000000,,1.80000,
bet Cnc b,Radial Velocity,605.20000000,,7.80000,
bet Pic b,Imaging,7665.00000000,,,
bet UMi b,Radial Velocity,522.30000000,,6.10000,
eps Eri b,Radial Velocity,2690.00000000,,0.78000,
eps CrB b,Radial Velocity,417.90000000,,6.70000,
eps Tau b,Radial Velocity,594.90000000,,7.60000,
Kepler-62 f,Transit,267.29100000,0.126,0.11000,
Kepler-63 b,Transit,9.43415050,0.545,0.37800,3.00000
PH1 b,Transit,138.31700000,0.551,0.53100,
Kepler-65 b,Transit,2.15491000,0.127,,
Kepler-65 c,Transit,5.85994400,0.230,,
Kepler-65 d,Transit,8.13123000,0.136,,
Kepler-66 b,Transit,17.81581500,0.250,,
Kepler-67 b,Transit,15.72590000,0.262,,
Kepler-68 b,Transit,5.39880000,,0.02407,
Kepler-68 c,Transit,9.60510000,,0.00642,
Kepler-68 d,Radial Velocity,634.60000000,,0.77000,
Kepler-69 b,Transit,13.72234100,0.200,,
Kepler-69 c,Transit,242.46130000,0.153,,
KOI-55 b,Orbital Brightness Modulation,0.24010400,0.068,0.00140,
KOI-55 c,Orbital Brightness Modulation,0.34288700,0.077,0.00210,
KOI-217 b,Transit,3.90512000,1.110,,
Kepler-74 b,Transit,7.34071100,0.960,0.63000,0.88000
Kepler-80 e,Transit,4.64489000,0.143,0.01299,3.75000
Kepler-81 b,Transit,5.95500000,0.216,,
Kepler-102 f,Transit,27.45360000,0.079,0.01636,
Kepler-103 b,Transit,15.96540000,0.301,0.03100,1.38000
Kepler-103 c,Transit,179.61200000,0.459,0.11400,1.47000
Kepler-104 b,Transit,11.42754800,0.277,,
Kepler-104 c,Transit,23.66820500,0.279,,
Kepler-104 d,Transit,51.75539400,0.319,,
Kepler-105 b,Transit,5.41220000,0.429,,
Kepler-105 c,Transit,7.12620000,0.117,0.01447,11.20000
Kepler-106 b,Transit,6.16486000,0.073,0.01668,
Kepler-106 c,Transit,13.57080000,0.223,0.03300,3.28000
Kepler-106 d,Transit,23.98020000,0.085,0.02549,
Kepler-106 e,Transit,43.84450000,0.228,0.03500,3.10000
Kepler-107 b,Transit,3.18002180,0.137,0.01104,5.30000
Kepler-107 c,Transit,4.90145200,0.142,0.02954,12.65000
Kepler-107 d,Transit,7.95839000,0.077,0.01196,33.10000
Kepler-107 e,Transit,14.74914300,0.259,0.02706,2.00000
Kepler-108 b,Transit,49.18392100,0.772,,
Kepler-108 c,Transit,190.32349400,0.730,,
Kepler-109 b,Transit,6.48163000,0.211,0.02297,
gam 1 Leo b,Radial Velocity,428.50000000,,8.78000,
gam Cep b,Radial Velocity,903.30000000,,1.85000,
kap CrB b,Radial Velocity,1285.00000000,,1.81100,
kap And b,Imaging,,,13.61600,
mu Leo b,Radial Velocity,357.80000000,,2.40000,
nu Oph b,Radial Velocity,530.21000000,,22.20600,
nu Oph c,Radial Velocity,3184.83000000,,24.66200,
ome Ser b,Radial Velocity,277.02000000,,1.70000,
omi CrB b,Radial Velocity,187.83000000,,1.50000,
omi UMa b,Radial Velocity,1630.00000000,,4.10000,
tau Boo b,Radial Velocity,3.31245680,,4.32000,
tau Gem b,Radial Velocity,305.50000000,,20.60000,
ups And b,Radial Velocity,4.61703300,,0.68760,
ups And c,Radial Velocity,241.25800000,,1.98100,
ups And d,Radial Velocity,1276.46000000,,4.13200,
xi Aql b,Radial Velocity,136.75000000,,2.80000,
Kapteyn c,Radial Velocity,121.54000000,,0.02200,
1RXS J160929.1-210524 b,Imaging,,,8.00000,
2MASS J01225093-2439505 b,Imaging,,,24.50000,
Kepler-81 c,Transit,12.04000000,0.211,,
Kepler-81 d,Transit,20.83784600,0.108,,
Kepler-82 b,Transit,26.44000000,0.363,0.03823,0.98000
Kepler-82 c,Transit,51.54000000,0.476,0.04373,0.49400
Kepler-82 d,Transit,2.38296100,0.158,,
Kepler-82 e,Transit,5.90220600,0.220,,
Kepler-83 b,Transit,9.77000000,0.252,,
Kepler-83 c,Transit,20.09000000,0.211,,
Kepler-83 d,Transit,5.16979600,0.173,,
Kepler-84 b,Transit,8.72600000,0.199,,
Kepler-84 c,Transit,12.88300000,0.211,,
Kepler-84 d,Transit,4.22453700,0.123,,
Kepler-84 e,Transit,27.43438900,0.232,,
Kepler-84 f,Transit,44.55216900,0.196,,
Kepler-85 b,Transit,8.30600000,0.176,,
Kepler-85 c,Transit,12.51300000,0.194,,
Kepler-85 d,Transit,17.91323000,0.107,,
Kepler-85 e,Transit,25.21675100,0.113,,
Kepler-109 c,Transit,21.22270000,0.225,0.06859,
Kepler-110 b,Transit,12.69111200,0.163,,
Kepler-110 c,Transit,31.71977500,0.197,,
Kepler-111 b,Transit,3.34181500,0.141,,
Kepler-75 b,Transit,8.88491160,1.050,10.10000,11.00000
Kepler-76 b,Orbital Brightness Modulation,1.54492980,1.360,2.01000,1.10000
Kepler-77 b,Transit,3.57878087,0.960,0.43000,0.60300
Kepler-78 b,Transit,0.35500744,0.100,0.01000,
Kepler-79 b,Transit,13.48450000,0.310,0.03430,1.43000
Kepler-79 c,Transit,27.40290000,0.332,0.01900,0.62000
Kepler-79 d,Transit,52.09020000,0.639,0.01900,0.09000
Kepler-79 e,Transit,81.06590000,0.311,0.01300,0.53000
Kepler-80 b,Transit,7.05246000,0.238,0.02180,1.38000
Kepler-80 c,Transit,9.52355000,0.244,0.02121,1.22000
Kepler-80 d,Transit,3.07222000,0.136,0.02124,7.04000
Kepler-111 c,Transit,224.78460800,0.651,,
Kepler-112 b,Transit,8.40887800,0.211,,
Kepler-112 c,Transit,28.57426300,0.214,,
2MASS J02192210-3925225 b,Imaging,,1.440,13.90000,
2MASS J04414489+2301513 b,Imaging,,,7.50000,
2MASS J12073346-3932539 b,Imaging,,,4.00000,
2MASS J21402931+1625183 A b,Imaging,7336.50000000,0.920,20.95000,
BD-17 63 b,Radial Velocity,655.60000000,,5.10000,
BD-13 2130 b,Radial Velocity,714.29999000,,9.78000,
BD-11 4672 b,Radial Velocity,1634.00000000,,0.65000,
BD-10 3166 b,Radial Velocity,3.48777000,,0.59000,
BD-08 2823 b,Radial Velocity,5.60000000,,0.04000,
BD-08 2823 c,Radial Velocity,237.60000000,,0.33000,
BD-06 1339 b,Radial Velocity,3.87280000,,0.02700,
BD-06 1339 c,Radial Velocity,125.94000000,,0.17000,
BD+14 4559 b,Radial Velocity,268.94000000,,1.04000,
BD+15 2940 b,Radial Velocity,137.48000000,,1.11000,
BD+20 274 b,Radial Velocity,578.20000000,,4.20000,
BD+20 2457 b,Radial Velocity,379.63000000,,55.59000,
BD+20 2457 c,Radial Velocity,621.99000000,,12.47000,
HD 164595 b,Radial Velocity,40.00000000,,0.05078,
HAT-P-57 b,Transit,2.46530000,1.740,1.41000,
PH2 b,Transit,282.52550000,0.903,,
Kepler-87 b,Transit,114.73635000,1.204,1.02000,0.72900
Kepler-87 c,Transit,191.23180000,0.548,0.02000,0.15200
KOI-142 b,Transit,10.91647000,0.307,0.03000,1.29000
KOI-142 c,Transit,22.26492000,,0.67400,
KOI-94 b,Transit,3.74320800,0.153,0.03300,10.10000
KOI-94 c,Transit,10.42364800,0.385,0.04900,0.91000
KOI-94 d,Transit,22.34298900,1.005,0.33400,0.36300
KOI-94 e,Transit,54.32031000,0.585,0.11000,0.60000
KOI-351 b,Transit,7.00815100,0.117,,
KOI-351 c,Transit,8.71937500,0.106,,
KOI-351 d,Transit,59.73667000,0.256,,
KOI-351 e,Transit,91.93913000,0.237,,
KOI-351 f,Transit,124.91440000,0.257,,
KOI-351 g,Transit,210.60697000,0.723,,
KOI-351 h,Transit,331.60059000,1.008,,
Kepler-91 b,Transit,6.24658000,1.367,0.81000,0.40000
Kepler-92 b,Transit,13.74900000,0.313,0.20200,
Kepler-92 c,Transit,26.72300000,0.232,0.01900,
Kepler-113 b,Transit,4.75400000,0.162,0.03700,10.73000
Kepler-113 c,Transit,8.92507000,0.194,0.02737,
Kepler-114 b,Transit,5.18854900,0.112,,
Kepler-114 c,Transit,8.04100000,0.143,0.00900,
Kepler-114 d,Transit,11.77600000,0.226,0.01200,
4 UMa b,Radial Velocity,269.30000000,,7.10000,
6 Lyn b,Radial Velocity,934.30000000,,2.01000,
7 CMa b,Radial Velocity,735.10000000,,1.85000,
11 Com b,Radial Velocity,326.03000000,,19.40000,
11 UMi b,Radial Velocity,516.21997000,,14.74000,
14 And b,Radial Velocity,185.84000000,,4.80000,
14 Her b,Radial Velocity,1773.40002000,,4.66000,
16 Cyg B b,Radial Velocity,798.50000000,,1.78000,
18 Del b,Radial Velocity,993.30000000,,10.30000,
24 Sex b,Radial Velocity,452.80000000,,1.99000,
24 Sex c,Radial Velocity,883.00000000,,0.86000,
30 Ari B b,Radial Velocity,335.10001000,,13.82000,
42 Dra b,Radial Velocity,479.10000000,,3.88000,
HAT-P-50 b,Transit,3.12201090,1.288,1.35000,0.78000
HAT-P-51 b,Transit,4.21802780,1.293,0.30900,0.17800
HAT-P-52 b,Transit,2.75359530,1.009,0.81800,0.98000
HAT-P-53 b,Transit,1.96162410,1.318,1.48400,0.80000
HD 1461 c,Radial Velocity,13.50520000,,0.01759,
HD 204313 c,Radial Velocity,34.90500000,,0.05530,
KIC 3558849 b,Transit,1322.30000000,0.616,,
KIC 5951458 b,Transit,1320.10000000,0.589,,
KIC 8540376 b,Transit,31.80990000,0.366,,
KIC 8540376 c,Transit,75.20000000,0.214,,
KIC 9663113 b,Transit,572.38470000,0.410,,
KIC 10525077 b,Transit,854.08300000,0.491,,
KIC 5437945 b,Transit,440.78130000,0.571,,
K2-25 b,Transit,3.48455200,0.306,,
HD 32963 b,Radial Velocity,2372.00000000,,0.70000,
TYC 3667-1280-1 b,Radial Velocity,26.46800000,,5.40000,
Kepler-818 b,Transit,10.03538581,0.456,,
Kepler-819 b,Transit,33.19956480,0.246,,
Kepler-820 b,Transit,127.83380980,0.543,,
Kepler-93 b,Transit,4.72674000,0.140,0.01000,
Kepler-93 c,Radial Velocity,1460.00000000,,3.00000,
Kepler-94 b,Transit,2.50806000,0.313,0.03400,1.45000
Kepler-94 c,Radial Velocity,820.30000000,,9.83600,
Kepler-95 b,Transit,11.52310000,0.305,0.04100,1.71000
Kepler-96 b,Transit,16.23850000,0.238,0.02700,2.26000
Kepler-97 b,Transit,2.58664000,0.132,0.01100,5.44000
Kepler-97 c,Radial Velocity,789.00000000,,1.08000,
Kepler-98 b,Transit,1.54168000,0.178,0.01100,2.18000
Kepler-99 b,Transit,4.60358000,0.132,0.01900,10.90000
Kepler-100 b,Transit,6.88705000,0.118,0.02300,14.25000
Kepler-100 c,Transit,12.81590000,0.196,0.02218,
Kepler-100 d,Transit,35.33310000,0.144,0.00944,
Kepler-101 b,Transit,3.48768120,0.510,0.16000,1.45000
Kepler-101 c,Transit,6.02976000,0.112,0.01000,10.50000
Kepler-102 b,Transit,5.28696000,0.042,0.01353,
Kepler-102 c,Transit,7.07142000,0.052,0.00944,
